game_id,team1_id,tore_heim,tore_aus,team2_id,liga,datetime,tor_diff,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
8463,49,1,1,25,bundesliga,1991-08-14,0,'5480','4679','3612','37','2728','979','3595','1466','4510','2356','1508','2087','4799','235','5425','1112','5215','1136','2126','4521','4674','1194'
8464,29,5,1,10,bundesliga,1991-08-14,4,'4191','4699','5455','1100','5037','2549','5120','852','228','126','2392','1843','3125','4853','853','1248','4066','4432','3916','3778','5446','3261'
8465,35,1,0,42,bundesliga,1991-08-14,1,'1038','4281','4118','197','1938','2294','4004','2900','5065','2567','2621','5029','5181','857','2924','3568','1170','4568','2039','2758','4008','4358'
8466,34,0,1,36,bundesliga,1991-08-14,-1,'4308','2019','5221','192','4838','5339','731','341','1222','462','5238','2217','1821','4252','2981','2124','1880','2212','586','1285','3959','157'
8467,10,3,1,27,bundesliga,1991-08-20,2,'1843','2739','3125','4853','1248','897','4066','3916','3778','91','3261','2','828','4840','4270','1437','3804','2063','1406','399','849','2516'
8468,53,0,2,28,bundesliga,1991-08-20,-2,'3883','2672','77','2913','858','2526','1917','3327','2281','252','3250','4740','4327','3487','5124','1598','81','2597','4949','842','3908','4022'
8469,44,3,2,35,bundesliga,1991-08-20,1,'451','2154','1390','70','2465','5107','1426','733','3678','4905','4138','1038','4281','4118','197','1429','1938','2294','4004','5065','2953','2621'
8470,42,1,1,4,bundesliga,1991-08-20,0,'5029','5181','857','2924','4339','3568','1170','2039','2758','4358','2827','4089','2877','766','3934','3816','2733','3588','4257','5360','402','1033'
8471,50,1,1,33,bundesliga,1991-08-21,0,'2389','346','2344','4323','2640','5219','99','629','465','2986','4296','12','5548','3813','237','3363','3151','810','5229','5288','5355','2692'
8472,39,2,1,23,bundesliga,1991-08-21,1,'1577','3774','2330','1856','1358','4999','2509','3461','2148','5407','4696','1728','723','3462','5517','5208','2642','3291','2977','348','3158','2165'
8473,54,1,1,49,bundesliga,1991-08-21,0,'1275','2796','2936','1754','149','1573','3771','4443','2090','2133','5321','5480','4679','3612','37','2728','3595','1466','4510','2356','5447','1508'
8474,25,4,3,34,bundesliga,1991-08-21,1,'2087','4799','235','5425','1112','5215','1136','2126','4521','4674','1194','4308','2019','5221','192','3031','4838','5339','731','341','1222','5238'
8475,36,2,1,9,bundesliga,1991-08-21,1,'2217','1821','4252','2981','2124','1880','2212','586','1285','3959','157','3121','1884','1440','3900','640','2677','5286','998','4371','906','3936'
8476,2,3,0,29,bundesliga,1991-08-21,3,'3928','3687','3293','5429','4652','2536','3634','2970','3973','3310','2812','4191','4699','5455','1100','5037','2549','5120','852','228','126','2392'
8477,4,0,2,44,bundesliga,1991-08-23,-2,'4089','3373','2877','766','3934','3816','2733','3588','5360','402','1033','451','2154','1390','70','2465','3187','5107','733','3678','4905','4665'
8478,28,2,2,50,bundesliga,1991-08-24,0,'4740','4327','3487','5124','1598','81','2597','4949','842','3908','4022','2389','346','1892','2344','4323','2640','99','629','465','2986','4296'
8479,27,0,3,2,bundesliga,1991-08-24,-3,'2','459','828','4840','4270','1437','4213','2063','399','849','2516','3928','3687','3293','5429','4652','2536','3634','2970','3973','3310','2812'
8480,25,0,0,54,bundesliga,1991-08-24,0,'2087','4799','235','5425','662','397','5215','2126','4521','4674','1194','1275','2796','2936','1754','2915','149','1573','3771','4443','2090','2133'
8481,33,0,0,36,bundesliga,1991-08-24,0,'12','5548','1587','3813','237','3363','3151','810','5288','908','2692','2217','1821','4252','2981','2124','1880','2212','586','1285','3959','157'
8482,49,1,1,39,bundesliga,1991-08-24,0,'5480','4679','3612','37','2728','3595','1466','4510','2356','5447','1508','1577','1891','3774','2330','1856','1358','4999','4802','3461','2148','5407'
8483,29,2,1,53,bundesliga,1991-08-24,1,'388','4699','5455','1100','5037','2549','5120','852','228','126','2392','3883','4881','77','2913','858','2526','1917','3327','1288','252','3250'
8484,35,5,2,10,bundesliga,1991-08-24,3,'1038','4281','4118','197','1429','1938','2294','4004','5065','2953','2621','1843','2739','4853','1248','897','3692','4066','3916','3778','91','3261'
8485,23,0,3,42,bundesliga,1991-08-25,-3,'1728','723','3462','5517','5208','2642','3291','348','3158','2165','1736','5426','5181','857','2924','3568','1170','2039','2758','4008','4358','2827'
8486,34,0,1,9,bundesliga,1991-10-09,-1,'3966','469','1788','2019','5221','2590','4838','731','341','1222','5238','3121','1884','1440','3900','1571','640','2521','5286','998','906','3936'
8487,50,0,0,29,bundesliga,1991-08-27,0,'2389','346','1892','2344','4323','2640','99','629','465','2986','4296','388','4699','5455','1100','5037','2549','5120','5242','852','228','2392'
8488,9,6,2,33,bundesliga,1991-08-27,4,'3121','1884','1440','3900','1571','2677','5286','998','4371','906','3936','12','5548','1587','3813','237','3363','3151','810','5288','908','2692'
8489,36,0,0,28,bundesliga,1991-08-27,0,'2217','1821','4252','2981','2124','1880','2212','586','1285','3959','157','4740','4327','934','5124','1598','5101','2597','4949','842','3908','4022'
8490,53,3,1,27,bundesliga,1991-08-27,2,'3883','975','4881','77','2913','858','2526','1917','1288','5084','3250','2','828','2118','4840','3975','1437','4213','3804','2063','399','1783'
8491,2,1,0,35,bundesliga,1991-08-27,1,'3928','3687','3293','5429','4652','2536','3634','2970','3973','3310','2812','1038','4281','4118','197','1429','2294','4004','2900','5065','2953','2621'
8492,10,4,0,4,bundesliga,1991-08-28,4,'1843','4853','432','1248','3692','4066','4432','3916','3778','5446','3261','4089','3373','2877','3934','2733','3588','5360','402','4018','1033','516'
8493,39,2,0,25,bundesliga,1991-08-28,2,'1577','1891','3774','2330','1856','1358','4999','4802','3461','2148','5407','2087','4799','235','5425','3839','397','1112','2126','4521','4674','1194'
8494,54,0,3,34,bundesliga,1991-08-28,-3,'1330','2796','2936','1754','2915','149','1573','3771','4443','2090','2133','4308','469','1788','2019','5221','4838','5339','731','341','1222','5238'
8495,44,0,2,23,bundesliga,1991-08-28,-2,'451','2154','1390','2465','3187','5107','1426','733','4351','3678','4665','4733','5111','4458','2693','5517','5208','2642','3291','3158','1143','2165'
8496,42,4,0,49,bundesliga,1991-08-28,4,'5029','4916','857','2924','3568','1170','2039','2758','4008','4358','2827','5480','4679','3612','2728','1466','4510','2356','3570','5447','1508','899'
8497,28,5,1,9,bundesliga,1991-08-30,4,'4740','4327','3487','5124','3769','5101','2597','4949','842','3908','4022','3121','1884','1440','3900','1571','2677','5286','998','4371','906','3936'
8498,27,4,3,50,bundesliga,1991-08-30,1,'2','828','2118','4840','3975','1437','2063','1406','399','849','2516','2389','346','1892','2344','4323','2640','99','629','465','2986','4296'
8499,35,3,1,53,bundesliga,1991-08-30,2,'1038','4281','4118','197','1429','2294','4004','2900','5065','3343','2621','3883','975','4881','77','2913','2526','1917','3327','2281','1288','3250'
8500,23,0,0,10,bundesliga,1991-08-31,0,'4733','5111','4458','2693','5517','5208','2642','3291','3158','1143','2165','1843','4853','432','1248','4066','4432','3916','3778','5399','5446','3261'
8501,4,1,0,2,bundesliga,1991-08-31,1,'4089','3373','2877','3934','3816','3588','4257','5360','402','1033','2378','3928','3687','3293','5429','2851','4652','2536','3634','3973','3310','2812'
8502,54,2,1,39,bundesliga,1991-08-31,1,'1275','2796','1754','333','149','1573','3771','4443','2090','2133','5321','1577','1891','3774','2330','1856','1358','4999','4802','3461','2148','5407'
8503,25,3,0,42,bundesliga,1991-08-31,3,'2087','4799','235','5425','662','397','1112','1867','4521','4674','1194','5029','4916','857','2924','3568','1170','2039','2758','4008','4358','2827'
